GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,19,3,0,0,4,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,15,70,2,4,4,18,3,7,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,28,112,2,2,2,25,4,7,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,27,78,3,5,5,20,4,7,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,42,43,6,0,11,11,5,5,2,5
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,4,81,3,3,2,20,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,4,81,3,3,2,20,3,7,0,7
spring-boot-skeleton,com.nnk.springboot.service,TradeService,26,150,2,4,2,29,2,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,26,162,2,4,2,32,2,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,PasswordValidator,3,11,0,0,1,3,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,26,154,2,4,2,30,2,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,BidListService,26,169,2,4,2,32,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,26,150,2,4,2,29,2,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,UserService,59,157,2,4,11,29,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.auth,UserDetailsServiceImpl,65,3,6,0,13,1,5,1,2,1
spring-boot-skeleton,com.nnk.springboot.config,MyAuthenticationSuccessHandler,33,3,6,0,10,1,4,1,1,1
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,135,0,0,0,27,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,37,66,0,0,7,8,3,11,3,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,27,94,0,0,3,10,2,16,2,16
spring-boot-skeleton,com.nnk.springboot.domain,Trade,22,54,0,0,3,7,3,9,3,9
spring-boot-skeleton,com.nnk.springboot.domain,BidList,22,54,0,0,3,7,3,9,3,9
spring-boot-skeleton,com.nnk.springboot.domain,User,27,73,0,0,3,9,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,18,58,0,0,3,7,2,10,2,10
